iter	RMSE
0	3935923.827
1	3767993.586
2	3613668.669
3	3484530.485
4	3366623.507
5	3255117.202
6	3155910.147
7	3060837.78
8	2971832.1
9	2881416.595
10	2810981.385
11	2734140.878
12	2673201.271
13	2607015.919
14	2541040.242
15	2488092.313
16	2443211.467
17	2393489.02
18	2352912.369
19	2309224.679
20	2269459.974
21	2232902.544
22	2203486.189
23	2170715.263
24	2143130.203
25	2117497.925
26	2092117.405
27	2060270.175
28	2032626.067
29	2010650.594
30	1984916.359
31	1965242.248
32	1945982.618
33	1929293.59
34	1906666.774
35	1889277.036
36	1873543.954
37	1858263.576
38	1842871.787
39	1826875.441
40	1814537.86
41	1802487.517
42	1793834.704
43	1776961.061
44	1763461.122
45	1754614.968
46	1745878.713
47	1735493.367
48	1727906.829
49	1719504.587
50	1705002.984
51	1699001.362
52	1691776.392
53	1680795.514
54	1671864.897
55	1666074.173
56	1660093.319
57	1654587.558
58	1647286.803
59	1638532.417
60	1630185.379
61	1624914.353
62	1619695.796
63	1610521.552
64	1607625.832
65	1601971.926
66	1595218.381
67	1585950.753
68	1583578.356
69	1577289.691
70	1575997.885
71	1569401.674
72	1561878.725
73	1555130.116
74	1550540.487
75	1547370.629
76	1539805.667
77	1533140.819
78	1529056.451
79	1524501.581
80	1516582.798
81	1514734.647
82	1508777.162
83	1502703.937
84	1501573.452
85	1500524.963
86	1498816.208
87	1491214.773
88	1489056.532
89	1483153.315
90	1477185.2
91	1472390.256
92	1467957.145
93	1463463.806
94	1461505.034
95	1460581.36
96	1455563.88
97	1450142.007
98	1448191.259
99	1447304.54
100	1442621.909
101	1441765.411
102	1440926.379
103	1436748.617
104	1433532.746
105	1427899.431
106	1423620.614
107	1418118.433
108	1414864.667
109	1410819.613
110	1410046.748
111	1406957.253
112	1402731.525
113	1398483.838
114	1394624.11
115	1393302.583
116	1390202.02
117	1385644.405
118	1381342.035
119	1377472.228
120	1373109.841
121	1372380.068
122	1371079.905
123	1370431.098
124	1365179.616
125	1361083.4
126	1354818.102
127	1354143.247
128	1353017.922
129	1349365.56
130	1346441.558
131	1345811.405
132	1342972.625
133	1340378.493
134	1336983.006
135	1336371.672
136	1332736.252
137	1331041.386
138	1329571.635
139	1326185.344
140	1321498.008
141	1320508.394
142	1316484.136
143	1311552.739
144	1304701.325
145	1304156.26
146	1300888.497
147	1298161.627
148	1296522.023
149	1294109.711
150	1293216.816
151	1289794.428
152	1287004.414
153	1283894.095
154	1282876.464
155	1279362.758
156	1276935.477
157	1276427.741
158	1275161.164
159	1272475.451
160	1266488.991
161	1265555.218
162	1262669.282
163	1259832.14
164	1258936.255
165	1257327.596
166	1254397.2
167	1251968.944
168	1250307.662
169	1249199.587
170	1244196.2
171	1241673.613
172	1238901.774
173	1238072.139
174	1234482.492
175	1234082.212
176	1231486.397
177	1229289.614
178	1226161.693
179	1225387.917
180	1223008.917
181	1219589.839
182	1216027.053
183	1213817.304
184	1212718.147
185	1210445.157
186	1209717.588
187	1207933.656
188	1207008.198
189	1204855.275
190	1203205.563
191	1200382.392
192	1199266.988
193	1197029.819
194	1194313.808
195	1193659.659
196	1191186.354
197	1188872.832
198	1187179.535
199	1186549.18
200	1184542.793
201	1183572.528
202	1181168.077
203	1179057.297
204	1176869.196
205	1175550.289
206	1173520.953
207	1171174.837
208	1168992.972
209	1166561.797
210	1165788.916
211	1161565.638
212	1159931.932
213	1159365.757
214	1157668.822
215	1155977.899
216	1155436.883
217	1153193.783
218	1151411.563
219	1149596.221
220	1148469.635
221	1147775.268
222	1144885.042
223	1144247.604
224	1142699.16
225	1140771.71
226	1138933.07
227	1136431.111
228	1133921.918
229	1132384.638
230	1130829.593
231	1130399.179
232	1128241.106
233	1123757.025
234	1122587.078
235	1122201.41
236	1120657.387
237	1118810.453
238	1117417.747
239	1116147.451
240	1114610.767
241	1112707.999
242	1111979.545
243	1110737.512
244	1109787.535
245	1109428.69
246	1106990.477
247	1105087.228
248	1103928.546
249	1100807.386
250	1100459.305
251	1098965.543
252	1098181.1
253	1096224.057
254	1093436.834
255	1093072.473
256	1091811.659
257	1090568.479
258	1089818.511
259	1088679.136
260	1087335.496
261	1086802.881
262	1084967.354
263	1084386.488
264	1083062.553
265	1081036.097
266	1079672.21
267	1079357.547
268	1077655.402
269	1076607.997
270	1076306.959
271	1074976.016
272	1073641.087
273	1071966.681
274	1070965.279
275	1069702.654
276	1068189.166
277	1066603.527
278	1066283.883
279	1064873.838
280	1064282.662
281	1063294.021
282	1062231.812
283	1061254.669
284	1060257.87
285	1059981.675
286	1058490.313
287	1057786.428
288	1057234.715
289	1055918.913
290	1055661.31
291	1054379.258
292	1052531.345
293	1050812.589
294	1049057.242
295	1047799.136
296	1046105.111
297	1045832.461
298	1044845.434
299	1044264.799
300	1043205.114
301	1042038.778
302	1040340.261
303	1039301.977
304	1038888.511
305	1037180.712
306	1036071.077
307	1034937.972
308	1034139.176
309	1033236.508
310	1032585.619
311	1031778.997
312	1031195.546
313	1030946.802
314	1029879.214
315	1028413.831
316	1027569.35
317	1026597.976
318	1025553.156
319	1024146.963
320	1022117.342
321	1021456.382
322	1020918.707
323	1019494.655
324	1018532.965
325	1017127.889
326	1016389.392
327	1015573.999
328	1014495.061
329	1012929.434
330	1012317.61
331	1011477.348
332	1010759.185
333	1009956.956
334	1008905.623
335	1007938.916
336	1007058.355
337	1006428.754
338	1005465.034
339	1004442.127
340	1003855.394
341	1002809.827
342	1002039.101
343	1001292.682
344	1000708.861
345	999645.4289
346	998704.711
347	997771.4179
348	996838.262
349	996279.757
350	995942.6781
351	995328.6958
352	994065.2912
353	992729.3759
354	991936.6551
355	991002.4981
356	989979.0276
357	989123.7376
358	986839.0316
359	986002.1407
360	985264.7101
361	984425.2878
362	983825.4814
363	983134.1846
364	982200.4908
365	981728.3171
366	981278.823
367	980381.9903
368	979718.1268
369	978730.6253
370	978299.9704
371	977360.2214
372	976544.6992
373	975759.9463
374	974891.6324
375	974060.7592
376	973253.1044
377	972842.0331
378	971615.0417
379	970995.9727
380	970408.5483
381	969581.778
382	968994.5576
383	968600.7183
384	968197.3319
385	967918.7914
386	967130.9265
387	966493.9529
388	965671.2231
389	965317.7311
390	964721.3233
391	963549.4963
392	963291.3221
393	962676.312
394	962108.7834
395	961336.8429
396	960499.4814
397	959813.0326
398	959023.1039
399	958453.5241
400	957990.3501
401	957146.6931
402	956319.7267
403	955423.9563
404	954912.3161
405	954304.88
406	952958.9148
407	952012.5676
408	951418.3367
409	950444.6847
410	949587.6815
411	949342.9146
412	948585.3727
413	947772.7053
414	947363.9888
415	946748.6382
416	946203.7069
417	945341.0651
418	944674.0129
419	944169.0016
420	943102.373
421	942354.8654
422	942107.0175
423	941217.1897
424	940772.5084
425	939891.5069
426	939407.9581
427	939075.9377
428	938601.0486
429	937970.9786
430	937258.9192
431	936199.0568
432	934898.1282
433	934229.4826
434	933599.5272
435	932800.2261
436	932204.7856
437	931692.4072
438	931473.1503
439	930058.25
440	929574.8002
441	928860.5932
442	927727.0037
443	927245.3801
444	926601.9567
445	925889.8189
446	925423.1188
447	925079.5784
448	924869.2949
449	924385.8752
450	923856.2678
451	923130.6922
452	922598.4513
453	922106.2584
454	921238.8975
455	920654.8686
456	920189.1995
457	919990.8235
458	919279.7078
459	918334.9037
460	917966.8375
461	917143.3544
462	916787.3347
463	916192.8598
464	916001.2773
465	915223.1599
466	914836.2186
467	914283.3228
468	913671.6508
469	912642.7671
470	911952.0144
471	911773.6038
472	911228.3381
473	910533.6791
474	909830.2486
475	909386.0331
476	908877.1079
477	908722.5827
478	907893.1255
479	907470.3322
480	907009.2411
481	906578.0295
482	906167.449
483	905611.5099
484	905148.8975
485	904641.9164
486	904241.9977
487	903614.8031
488	903465.1577
489	903076.0529
490	902491.4312
491	902151.1324
492	901425.7704
493	900758.5523
494	900329.5869
495	900034.7059
496	899231.0196
497	898924.958
498	898783.3016
499	898387.5091
500	897891.3716
501	897410.1172
502	896949.8213
503	896358.6007
504	895736.9873
505	894768.8664
506	894197.9066
507	893641.6205
508	893528.164
509	893154.1422
510	892855.9031
511	892339.7355
512	891853.0035
513	891283.6963
514	890548.6859
515	889816.0796
516	889379.0072
517	888857.0139
518	888291.4656
519	887841.8092
520	886917.1484
521	886338.6357
522	885921.3741
523	885392.7922
524	885099.1645
525	884930.2366
526	884437.3988
527	883818.7866
528	883527.9076
529	883079.9504
530	882633.6674
531	882476.3118
532	881965.0282
533	881134.7383
534	880649.354
535	879895.8435
536	879793.0884
537	879330.4345
538	878843.8853
539	878387.6873
540	877988.9043
541	877405.3676
542	876907.3209
543	876814.3731
544	876725.0096
545	876202.251
546	875935.9396
547	875293.5766
548	874682.3065
549	874293.0815
550	873868.5768
551	873579.1076
552	873198.2434
553	872633.6365
554	872063.9873
555	871917.7305
556	871481.0317
557	870947.408
558	870589.1158
559	870070.9813
560	869235.2278
561	868870.8124
562	868785.1295
563	868434.5479
564	867805.4502
565	867453.6622
566	866988.9631
567	866444.3413
568	866363.1096
569	866091.9085
570	865551.3425
571	865134.9272
572	864643.878
573	864298.7066
574	863950.2986
575	863628.3921
576	863549.8237
577	862739.3996
578	862662.1325
579	862154.845
580	861867.748
581	861594.6341
582	860945.2905
583	860462.5746
584	860133.2118
585	859106.6413
586	858749.9501
587	858304.2471
588	857892.356
589	857481.5098
590	857191.825
591	856811.3021
592	856412.9238
593	855894.667
594	855307.5419
595	855196.9214
596	854724.5018
597	854363.4852
598	853915.9387
599	853319.2123
600	853070.1672
601	852673.6608
602	851742.8621
603	851489.1714
604	851114.652
605	850633.973
606	850093.1583
607	849298.9859
608	848881.126
609	848521.3485
610	847675.3131
611	847134.5298
612	846725.1519
613	846499.2983
614	846042.1456
615	845979.5059
616	845154.8467
617	844872.6276
618	843911.9491
619	843578.2563
620	843221.5038
621	843058.6953
622	842959.9151
623	842601.149
624	842249.884
625	842179.7938
626	841872.5305
627	841639.3808
628	841415.9228
629	841088.6326
630	840752.7058
631	840227.363
632	839923.5488
633	839668.5759
634	839241.6761
635	838451.1434
636	838242.202
637	837518.8585
638	837092.3008
639	837022.8022
640	836566.6624
641	836199.4569
642	835843.9991
643	835259.3018
644	834681.1789
645	834615.8204
646	834236.3385
647	834028.4029
648	833637.5033
649	833113.7592
650	832906.013
651	832759.0927
652	832470.9189
653	832154.3947
654	831848.1709
655	831792.5088
656	831453.6849
657	831112.2016
658	830755.0996
659	830301.4368
660	829786.4277
661	829475.9004
662	828717.0788
663	828407.1148
664	828053.0065
665	827901.1196
666	827399.9452
667	827182.297
668	826533.6314
669	826303.7823
670	826120.9048
671	825931.6841
672	825871.3751
673	825476.8392
674	825225.8621
675	824904.4654
676	824318.2594
677	824044.6075
678	823806.1732
679	823663.9221
680	823447.4351
681	823121.0425
682	822815.8895
683	822370.8769
684	821999.9312
685	821862.6096
686	821410.5668
687	820975.1746
688	820789.7586
689	820397.9706
690	820052.4178
691	819705.0997
692	819404.715
693	819039.4514
694	818698.4267
695	818638.2938
696	818320.3321
697	817878.4063
698	817648.8406
699	817409.6417
700	817259.892
701	817020.1085
702	816884.9699
703	816515.7593
704	816349.9908
705	816198.8489
706	816140.5613
707	815846.7425
708	815618.4557
709	815301.7154
710	815094.1105
711	814764.9634
712	814464.2577
713	814415.0485
714	813785.0311
715	813312.4
716	812982.1527
717	812578.7639
718	812329.2851
719	812018.4954
720	811560.4069
721	811307.3002
722	810956.6414
723	810720.0039
724	810632.0349
725	810430.7228
726	810206.884
727	809898.7641
728	809723.5019
729	809301.1938
730	809254.612
731	808680.856
732	808478.1616
733	808008.347
734	807662.9759
735	807111.8894
736	806813.0841
737	806486.0948
738	806365.542
739	806172.3504
740	805361.2253
741	805117.5513
742	804874.4853
743	804557.9572
744	804276.1697
745	803954.9619
746	803629.7074
747	803306.8373
748	802935.3362
749	802410.418
750	802066.6605
751	801867.4266
752	801027.8969
753	800409.8341
754	800220.9203
755	800024.9353
756	799743.3964
757	799540.1935
758	799352.8792
759	799219.3437
760	798969.0451
761	798394.2124
762	798069.797
763	797695.1686
764	797344.2115
765	797236.7603
766	797032.1962
767	796858.4944
768	796633.6317
769	796351.8584
770	796097.078
771	795920.0487
772	795712.367
773	795584.7986
774	795227.6783
775	795104.143
776	794845.6269
777	794531.2902
778	794366.0005
779	794150.4334
780	793935.3733
781	793744.4097
782	793474.2353
783	793338.6227
784	792829.1114
785	792485.1246
786	792127.1164
787	791984.8767
788	791772.9548
789	791478.6998
790	791262.1734
791	791025.8274
792	790596.3542
793	790338.7848
794	790235.0115
795	790041.7182
796	789920.1379
797	789699.9145
798	789564.8698
799	789362.5675
800	788902.2795
801	788695.1593
802	788386.0574
803	787959.3485
804	787768.5948
805	787661.4487
806	787455.7411
807	786949.3401
808	786597.7374
809	786432.4093
810	786109.7904
811	785830.8198
812	785781.8927
813	785579.8612
814	785366.2781
815	785214.1129
816	785055.7802
817	784560.6973
818	784513.4009
819	784310.4381
820	784130.8965
821	784091.1574
822	783830.6244
823	783609.251
824	783446.4761
825	783078.8178
826	782896.0108
827	782852.2099
828	782605.7052
829	782452.0263
830	782194.1346
831	781914.1081
832	781663.0245
833	781430.3843
834	781232.3209
835	781073.5698
836	780882.4185
837	780685.491
838	780647.7714
839	780336.5884
840	780199.1135
841	779996.9068
842	779892.8584
843	779737.7263
844	779492.4416
845	779358.8087
846	779015.4574
847	778726.7144
848	778537.4356
849	778079.2129
850	777919.8819
851	777797.9323
852	777652.193
853	777442.3027
854	777083.4806
855	776995.582
856	776688.3499
857	776504.0794
858	776333.9735
859	776120.0223
860	775788.8203
861	775657.7373
862	775441.1937
863	775081.2848
864	774757.0433
865	774625.7331
866	774444.3324
867	774056.1496
868	773912.2547
869	773659.8252
870	773483.534
871	773270.8398
872	773054.3111
873	772766.4384
874	772724.6771
875	772423.1476
876	772302.1844
877	772174.9145
878	771979.1385
879	771938.3274
880	771548.7073
881	771367.1707
882	771160.7766
883	771013.6904
884	770879.4468
885	770654.1949
886	770484.6946
887	770363.1127
888	770002.8557
889	769782.4249
890	769593.2087
891	769158.2014
892	768744.5162
893	768583.6754
894	768209.5699
895	768170.1553
896	767986.763
897	767671.8474
898	767471.8318
899	767395.374
900	767191.3984
901	767055.899
902	766594.8211
903	766512.3574
904	766347.4659
905	766083.9768
906	766045.9162
907	765870.9809
908	765662.7296
909	765629.9623
910	765592.5636
911	765407.2907
912	765168.8805
913	764764.0269
914	764525.7323
915	764390.5979
916	764088.1524
917	763939.5061
918	763773.9948
919	763574.6632
920	763455.5425
921	763030.0101
922	762750.8084
923	762575.2485
924	762362.8629
925	762219.3681
926	761822.3356
927	761643.0726
928	761555.9484
929	761483.8126
930	761286.93
931	761118.1142
932	760965.0518
933	760640.6279
934	760401.0546
935	760195.3366
936	759959.0926
937	759828.1687
938	759552.7418
939	759413.4521
940	759260.2013
941	759224.4464
942	759019.765
943	758832.6047
944	758704.0161
945	758484.9121
946	758300.7183
947	758111.9913
948	757954.1193
949	757872.7243
950	757669.6164
951	757543.8187
952	757396.9384
953	757239.5307
954	757205.3137
955	757017.0131
956	756881.1204
957	756617.5646
958	756441.5927
959	756227.6148
960	756046.4198
961	755858.2092
962	755425.6961
963	755318.6524
964	755140.0509
965	754869.2455
966	754716.9666
967	754530.735
968	754497.4625
969	754387.3615
970	754220.4447
971	754078.66
972	753903.1586
973	753854.9759
974	753736.5639
975	753595.311
976	753383.3354
977	753214.1254
978	753132.9186
979	752904.9296
980	752736.8999
981	752515.8048
982	752397.0913
983	752202.8398
984	752171.1657
985	751950.6894
986	751713.1962
987	751482.2659
988	751367.783
989	751198.5864
990	750831.8238
991	750750.5863
992	750564.1334
993	750368.9182
994	750170.6859
995	750041.0691
996	749916.3757
997	749832.7703
998	749631.0558
999	749472.8032
