iter	Passed	Remaining
0	44	44399
1	55	27850
2	67	22389
3	78	19614
4	92	18362
5	102	17033
6	115	16429
7	127	15847
8	139	15310
9	149	14849
10	162	14622
11	177	14576
12	188	14282
13	199	14071
14	212	13970
15	223	13720
16	234	13534
17	245	13398
18	266	13764
19	280	13755
20	292	13632
21	303	13506
22	314	13352
23	326	13264
24	340	13281
25	352	13201
26	368	13290
27	385	13388
28	397	13313
29	410	13268
30	425	13301
31	438	13261
32	450	13206
33	461	13113
34	476	13124
35	487	13064
36	502	13071
37	513	12988
38	526	12968
39	538	12930
40	549	12846
41	560	12774
42	570	12692
43	584	12704
44	594	12624
45	605	12556
46	615	12481
47	625	12404
48	636	12352
49	647	12295
50	658	12262
51	672	12258
52	683	12213
53	694	12162
54	708	12169
55	719	12134
56	731	12097
57	741	12050
58	758	12092
59	774	12133
60	786	12104
61	798	12080
62	810	12050
63	821	12019
64	835	12013
65	846	11982
66	858	11960
67	873	11969
68	885	11947
69	896	11913
70	904	11838
71	922	11884
72	934	11873
73	948	11873
74	961	11855
75	973	11829
76	985	11812
77	999	11816
78	1011	11791
79	1022	11763
80	1038	11783
81	1051	11774
82	1063	11754
83	1078	11762
84	1090	11742
85	1104	11735
86	1116	11719
87	1129	11706
88	1141	11687
89	1153	11663
90	1169	11686
91	1184	11689
92	1200	11711
93	1214	11704
94	1226	11688
95	1242	11703
96	1256	11693
97	1271	11703
98	1285	11696
99	1299	11696
100	1311	11671
101	1324	11657
102	1335	11630
103	1346	11604
104	1359	11589
105	1369	11553
106	1380	11520
107	1390	11485
108	1400	11449
109	1412	11429
110	1434	11485
111	1461	11589
112	1506	11826
113	1524	11847
114	1535	11816
115	1547	11789
116	1572	11867
117	1583	11834
118	1594	11807
119	1607	11791
120	1624	11802
121	1637	11784
122	1651	11776
123	1662	11744
124	1676	11732
125	1688	11713
126	1701	11696
127	1719	11717
128	1738	11740
129	1754	11739
130	1767	11724
131	1783	11729
132	1799	11727
133	1816	11739
134	1830	11726
135	1842	11705
136	1854	11682
137	1868	11671
138	1880	11648
139	1893	11632
140	1907	11619
141	1920	11604
142	1932	11584
143	1944	11560
144	1958	11547
145	1970	11524
146	1982	11502
147	1992	11472
148	2004	11446
149	2014	11417
150	2025	11386
151	2035	11357
152	2046	11329
153	2057	11302
154	2068	11275
155	2080	11253
156	2091	11227
157	2102	11204
158	2115	11187
159	2125	11160
160	2137	11140
161	2148	11115
162	2159	11089
163	2172	11072
164	2184	11053
165	2196	11033
166	2207	11012
167	2219	10990
168	2230	10968
169	2242	10950
170	2255	10934
171	2268	10922
172	2281	10908
173	2294	10891
174	2307	10876
175	2361	11057
176	2385	11091
177	2408	11123
178	2422	11112
179	2435	11095
180	2448	11080
181	2463	11072
182	2477	11061
183	2491	11048
184	2503	11027
185	2515	11009
186	2528	10991
187	2538	10965
188	2548	10936
189	2560	10914
190	2569	10884
191	2580	10860
192	2590	10833
193	2601	10808
194	2612	10783
195	2623	10761
196	2633	10734
197	2643	10708
198	2653	10681
199	2663	10654
200	2673	10626
201	2683	10600
202	2694	10577
203	2704	10551
204	2714	10526
205	2724	10500
206	2733	10473
207	2744	10450
208	2755	10427
209	2765	10401
210	2775	10378
211	2784	10351
212	2794	10326
213	2804	10301
214	2814	10277
215	2825	10255
216	2835	10231
217	2845	10206
218	2854	10181
219	2866	10162
220	2876	10140
221	2886	10116
222	2896	10091
223	2906	10068
224	2915	10043
225	2926	10022
226	2935	9997
227	2945	9972
228	2957	9955
229	2966	9932
